status,total_orders,revenue,order_share_pct
Shipped,77804,50324255.0,60.32
Shipped - Delivered to Buyer,28769,18650815.0,22.31
Cancelled,18332,6919284.3,14.21
Shipped - Returned to Seller,1953,1269644.0,1.51
Shipped - Picked Up,973,661252.0,0.75
Pending,658,430271.0,0.51
Pending - Waiting for Pick Up,281,192138.0,0.22
Shipped - Returning to Seller,145,107620.0,0.11
Shipped - Out for Delivery,35,26971.0,0.03
Shipped - Rejected by Buyer,11,7295.0,0.01
Shipping,8,0.0,0.01
Shipped - Lost in Transit,5,1997.0,0.0
Shipped - Damaged,1,1136.0,0.0
